Frequency,Power
2.11e+09,0.3710587
2.111e+09,0.3705752
2.112e+09,0.3742813
2.113e+09,0.3712198
2.114e+09,0.37694
2.115e+09,0.3754092
2.116e+09,0.3768595
2.117e+09,0.3717838
2.118e+09,0.3679166
2.119e+09,0.3752481
2.12e+09,0.3794376
2.121e+09,0.3787125
2.122e+09,0.3805655
2.123e+09,0.3809683
2.124e+09,0.3779068
2.125e+09,0.3808072
2.126e+09,0.3813712
2.127e+09,0.3820157
2.128e+09,0.3754898
2.129e+09,0.3759732
2.13e+09,0.3816934
2.131e+09,0.3840298
2.132e+09,0.3791959
2.133e+09,0.3742008
2.134e+09,0.3797598
2.135e+09,0.3723477
2.136e+09,0.3773428
2.137e+09,0.3735562
2.138e+09,0.3787125
2.139e+09,0.3766983
2.14e+09,0.3788736
2.141e+09,0.3768594
2.142e+09,0.37267
2.143e+09,0.3729923
2.144e+09,0.3763761
2.145e+09,0.3772623
2.146e+09,0.3688028
2.147e+09,0.379921
2.148e+09,0.3792764
2.149e+09,0.3729923
2.15e+09,0.373959
2.151e+09,0.3719449
2.152e+09,0.3753287
2.153e+09,0.3774234
2.154e+09,0.3774234
2.155e+09,0.3754898
2.156e+09,0.3783902
2.157e+09,0.3749259
2.158e+09,0.3762149
2.159e+09,0.3754898
2.16e+09,0.3755703
2.161e+09,0.379921
2.162e+09,0.3758121
2.163e+09,0.3776651
2.164e+09,0.3796793
2.165e+09,0.3779874
2.166e+09,0.3783096
2.167e+09,0.378068
2.168e+09,0.3747647
2.169e+09,0.3693668
2.17e+09,0.374523
2.171e+09,0.3686417
2.172e+09,0.3725894
2.173e+09,0.3663052
2.174e+09,0.3671109
2.175e+09,0.3713809
2.176e+09,0.3708975
2.177e+09,0.3679166
2.178e+09,0.3714615
2.179e+09,0.369689
2.18e+09,0.3668692
2.181e+09,0.3690445
2.182e+09,0.3758121
2.183e+09,0.3679971
2.184e+09,0.3642105
2.185e+09,0.3649356
2.186e+09,0.3667886
2.187e+09,0.3649356
2.188e+09,0.3674332
2.189e+09,0.3684805
2.19e+09,0.3677554
2.191e+09,0.3712198
2.192e+09,0.3711392
2.193e+09,0.3728311
2.194e+09,0.3733951
2.195e+09,0.3756509
2.196e+09,0.3685611
2.197e+09,0.363566
2.198e+09,0.3698501
2.199e+09,0.3690445
2.2e+09,0.3703336
2.201e+09,0.3720254
2.202e+09,0.3695279
2.203e+09,0.3706558
2.204e+09,0.3692056
2.205e+09,0.3680777
2.206e+09,0.3671915
2.207e+09,0.3692863
2.208e+09,0.3676749
2.209e+09,0.3688028
2.21e+09,0.3762149
2.211e+09,0.3675943
2.212e+09,0.3688834
2.213e+09,0.3736368
2.214e+09,0.373959
2.215e+09,0.3704141
2.216e+09,0.3717032
2.217e+09,0.3675943
2.218e+09,0.3704947
2.219e+09,0.3719449
2.22e+09,0.3685611
2.221e+09,0.3736368
2.222e+09,0.3712198
2.223e+09,0.373234
2.224e+09,0.3732339
2.225e+09,0.3750064
2.226e+09,0.3712198
2.227e+09,0.3679166
2.228e+09,0.3684805
2.229e+09,0.3711392
2.23e+09,0.3737979
2.231e+09,0.3683194
2.232e+09,0.3661441
2.233e+09,0.3723477
2.234e+09,0.3740396
2.235e+09,0.3742813
2.236e+09,0.3733951
2.237e+09,0.3736368
2.238e+09,0.378793
2.239e+09,0.3723477
2.24e+09,0.3765372
2.241e+09,0.3727506
2.242e+09,0.3754898
2.243e+09,0.375087
2.244e+09,0.3742007
2.245e+09,0.3725894
2.246e+09,0.3759732
2.247e+09,0.3717837
2.248e+09,0.3723477
2.249e+09,0.3762149
2.25e+09,0.376376
2.251e+09,0.3792764
2.252e+09,0.3791153
2.253e+09,0.3809683
2.254e+09,0.3804849
2.255e+09,0.3699307
2.256e+09,0.3800015
2.257e+09,0.3783096
2.258e+09,0.3772623
2.259e+09,0.37694
2.26e+09,0.3722672
2.261e+09,0.3706558
2.262e+09,0.3801627
2.263e+09,0.3715421
2.264e+09,0.3746841
2.265e+09,0.3725894
2.266e+09,0.3720254
2.267e+09,0.3697696
2.268e+09,0.3735562
