Frequency,Power
2.11e+09,0.3642105
2.13e+09,0.3690445
2.15e+09,0.3803238
2.17e+09,0.3569595
2.19e+09,0.3746841
2.21e+09,0.3609879
2.23e+09,0.3738785
2.25e+09,0.3867691
2.27e+09,0.3682388
2.29e+09,0.3634048
2.31e+09,0.3819351
2.33e+09,0.3634048
2.35e+09,0.3803238
2.37e+09,0.3601822
2.39e+09,0.3585708
2.41e+09,0.3674332
2.43e+09,0.3585708
2.45e+09,0.3609879
2.47e+09,0.3940201
2.49e+09,0.3609879
2.51e+09,0.3561539
2.53e+09,0.3569595
