Frequency,Power
2.11e+09,-40.36226
2.1122e+09,-40.33356
2.1144e+09,-40.13274
2.1166e+09,-40.19968
2.1188e+09,-40.19968
2.121e+09,-40.00842
2.1232e+09,-40.07536
2.1254e+09,-40.26662
2.1276e+09,-40.25706
2.1298e+09,-40.32401
2.132e+09,-40.17099
2.1342e+09,-40.36226
2.1364e+09,-40.28575
2.1386e+09,-40.13274
2.1408e+09,-40.12318
2.143e+09,-40.1423
2.1452e+09,-40.27619
2.1474e+09,-40.26662
2.1496e+09,-40.37182
2.1518e+09,-40.19012
2.154e+09,-40.26662
2.1562e+09,-40.26662
2.1584e+09,-40.31444
2.1606e+09,-40.27619
2.1628e+09,-40.4292
2.165e+09,-40.30488
2.1672e+09,-40.18056
2.1694e+09,-40.28575
2.1716e+09,-40.09449
2.1738e+09,-40.20924
2.176e+09,-40.18056
2.1782e+09,-40.4292
2.1804e+09,-40.45789
2.1826e+09,-40.19968
2.1848e+09,-40.25706
2.187e+09,-40.29531
2.1892e+09,-40.21881
2.1914e+09,-40.34313
2.1936e+09,-40.1423
2.1958e+09,-40.1423
2.198e+09,-40.39095
2.2002e+09,-40.31444
2.2024e+09,-40.34313
2.2046e+09,-40.37182
2.2068e+09,-40.26662
2.209e+09,-40.32401
2.2112e+09,-40.20924
2.2134e+09,-40.36226
2.2156e+09,-40.17099
2.2178e+09,-40.32401
2.22e+09,-40.55352
2.2222e+09,-40.23793
2.2244e+09,-40.34313
2.2266e+09,-40.35269
2.2288e+09,-40.38138
2.231e+09,-40.20924
2.2332e+09,-40.37182
2.2354e+09,-40.22837
2.2376e+09,-40.25706
2.2398e+09,-40.36226
2.242e+09,-40.10405
2.2442e+09,-40.26662
2.2464e+09,-40.13274
2.2486e+09,-40.20924
2.2508e+09,-40.28575
2.253e+09,-40.1423
2.2552e+09,-40.25706
2.2574e+09,-40.41007
2.2596e+09,-40.08492
2.2618e+09,-40.34313
2.264e+09,-40.08492
2.2662e+09,-40.41964
2.2684e+09,-40.43876
2.2706e+09,-40.40051
2.2728e+09,-40.47701
2.275e+09,-40.27619
2.2772e+09,-40.15187
2.2794e+09,-40.27619
2.2816e+09,-40.10405
2.2838e+09,-40.51527
2.286e+09,-40.37182
2.2882e+09,-40.2475
2.2904e+09,-40.33356
2.2926e+09,-40.34313
2.2948e+09,-40.33357
2.297e+09,-40.16143
2.2992e+09,-40.1423
2.3014e+09,-40.22837
2.3036e+09,-40.44833
2.3058e+09,-40.09449
2.308e+09,-40.26662
2.3102e+09,-40.4292
2.3124e+09,-40.35269
2.3146e+09,-40.25706
2.3168e+09,-38.81182
2.319e+09,-30.50914
2.3212e+09,-36.23931
2.3234e+09,-39.83628
2.3256e+09,-39.76934
2.3278e+09,-39.46331
2.33e+09,-38.67793
2.3322e+09,-38.28524
2.3344e+09,-38.06529
2.3366e+09,-38.2948
2.3388e+09,-38.89848
2.341e+09,-39.1286
2.3432e+09,-39.22423
2.3454e+09,-39.62589
2.3476e+09,-39.89366
2.3498e+09,-39.87453
2.352e+09,-39.95104
2.3542e+09,-40.11361
2.3564e+09,-40.27619
2.3586e+09,-40.17099
2.3608e+09,-40.07536
2.363e+09,-40.27619
2.3652e+09,-40.2475
2.3674e+09,-40.41007
2.3696e+09,-40.09449
2.3718e+09,-39.97017
2.374e+09,-40.31444
2.3762e+09,-40.34313
2.3784e+09,-40.12318
2.3806e+09,-40.40051
2.3828e+09,-40.22837
2.385e+09,-40.45789
2.3872e+09,-40.4292
2.3894e+09,-40.39095
2.3916e+09,-40.20924
2.3938e+09,-40.29531
2.396e+09,-40.22837
2.3982e+09,-40.41007
2.4004e+09,-40.60134
2.4026e+09,-40.25706
2.4048e+09,-40.20924
2.407e+09,-40.44833
2.4092e+09,-40.19012
2.4114e+09,-40.3527
2.4136e+09,-40.43876
2.4158e+09,-39.97017
2.418e+09,-40.32401
2.4202e+09,-40.43876
2.4224e+09,-40.52483
2.4246e+09,-40.30488
2.4268e+09,-40.43876
2.429e+09,-40.15187
2.4312e+09,-40.22837
2.4334e+09,-40.38138
2.4356e+09,-40.38139
2.4378e+09,-40.40051
2.44e+09,-40.04667
2.4422e+09,-40.19968
2.4444e+09,-40.31444
2.4466e+09,-40.36226
2.4488e+09,-40.22837
2.451e+09,-40.20924
2.4532e+09,-40.25706
2.4554e+09,-40.01798
2.4576e+09,-40.05623
2.4598e+09,-40.0658
2.462e+09,-39.67371
2.4642e+09,-39.83628
2.4664e+09,-39.08078
2.4686e+09,-38.82198
2.4708e+09,-38.6875
2.473e+09,-38.30437
2.4752e+09,-37.72101
2.4774e+09,-37.71145
2.4796e+09,-37.48193
2.4818e+09,-37.27154
2.484e+09,-36.83163
2.4862e+09,-35.94225
2.4884e+09,-34.45995
2.4906e+09,-32.50845
2.4928e+09,-28.17511
2.495e+09,-20.49464
2.4972e+09,-14.93601
2.4994e+09,-21.86218
2.5016e+09,-27.62044
2.5038e+09,-30.53783
2.506e+09,-32.33632
2.5082e+09,-32.97765
2.5104e+09,-33.35062
2.5126e+09,-34.07742
2.5148e+09,-35.65535
2.517e+09,-37.568
2.5192e+09,-38.74547
2.5214e+09,-39.45375
2.5236e+09,-39.8554
2.5258e+09,-39.84584
2.528e+09,-40.2475
2.5302e+09,-39.99886
2.5324e+09,-39.88409
2.5346e+09,-40.11361
2.5368e+09,-40.31444
2.539e+09,-40.2475
2.5412e+09,-40.2475
2.5434e+09,-40.17099
2.5456e+09,-40.32401
2.5478e+09,-40.27619
